"k","r","x1","x2","max_eigen","min_growth_rate","max_growth_rate","expect_avg_growth_rate"
0.4,2,0.28169014084507,0.583217615552469,-0.0768193321766033,-1.26247124247599,-0.0159686795622117,-0.23918847643736
0.6,2,0.28169014084507,1.04608873900681,-0.352886568185018,-0.711692384518093,0.005919248148057,-0.188500075421274
0.8,2,0.28169014084507,1.27752430073398,-0.209719867076893,-0.482217194353853,0.0627774602000664,-0.108901951910988
1,2,0.28169014084507,1.41638563777028,-0.123819847662974,-0.375020078693414,0.127380383367466,-0.0369675358837229
1.2,2,0.28169014084507,1.50895986246115,-0.0665531690961575,-0.319255689565765,0.18614935137345,0.0212585465188005
1.4,2,0.28169014084507,1.57508430866891,-0.0256484013719077,-0.286744686547717,0.235447883803902,0.0675967273266275
1.6,2,0.28169014084507,1.62467764332474,0.00503017676682152,-0.265863999281181,0.275924352814824,0.104770154886314
1.8,2,0.28169014084507,1.66325023694593,0.0288913003941847,-0.251422276835766,0.309204877624136,0.135024564526188
2,2,0.28169014084507,1.69410831184289,0.0479801880374755,-0.240864125352422,0.336824501427373,0.160025226591562
2.2,2,0.28169014084507,1.71935582766767,0.0635983745226934,-0.232813693061627,0.360010442107013,0.180981273576108
2.4,2,0.28169014084507,1.74039542418832,0.0766135288845784,-0.226472278422636,0.379699336191793,0.198774286842283
2.6,2,0.28169014084507,1.7581981597058,0.0876263506033315,-0.221346703592927,0.39659940479959,0.214055261540817
2.8,2,0.28169014084507,1.7734576472922,0.0970659111830088,-0.217116694492545,0.411248516858563,0.227312309942892
0.4,3.5,0.28169014084507,1.02063082721682,-0.0746973620771725,-2.20980690057414,-0.0274629598653208,-0.258034240378503
0.6,3.5,0.28169014084507,1.83065529326192,-0.314853209637415,-1.25681495394333,0.0217119856237923,-0.202217388487949
0.8,3.5,0.28169014084507,2.23566752628447,-0.367009772075647,-0.870809277462614,0.136789733311321,-0.0784200464436221
1,3.5,0.28169014084507,2.478674866098,-0.216684724809886,-0.688630210263462,0.255260760643691,0.0432930523369514
1.2,3.5,0.28169014084507,2.64067975930702,-0.116468053736748,-0.588945690750483,0.356009583276988,0.143982750126473
1.4,3.5,0.28169014084507,2.7563975401706,-0.0448846984916025,-0.527381598113759,0.437612201130554,0.224504853499775
1.6,3.5,0.28169014084507,2.84318587581829,0.00880281168747942,-0.485847814688574,0.503453438063533,0.289115391363671
1.8,3.5,0.28169014084507,2.91068791465538,0.0505597772535175,-0.455992300052143,0.557111854559179,0.341648601847389
2,3.5,0.28169014084507,2.96468954572505,0.0839653321929713,-0.433508175239543,0.601438839625486,0.385008368249871
2.2,3.5,0.28169014084507,3.00887269841842,0.111297147596241,-0.41596727768723,0.638561572879713,0.421314086743246
2.4,3.5,0.28169014084507,3.04569199232956,0.134073677111706,-0.401900771423909,0.670048125647322,0.452111528167399
2.6,3.5,0.28169014084507,3.07684677948514,0.153346111210289,-0.390369048280969,0.697061270701547,0.478540641335028
2.8,3.5,0.28169014084507,3.10355088276136,0.169865342224724,-0.380743284297077,0.720473968746526,0.501454771872338
0.4,5,0.28169014084507,1.45804403888117,-0.0739126829582993,-3.16175322981297,-0.0343465690277611,-0.265367561044682
0.6,5,0.28169014084507,2.61522184751703,-0.278572156952045,-1.78592136772837,0.0214885236758875,-0.208091350185703
0.8,5,0.28169014084507,3.19381075183495,-0.524299670819622,-1.22174263107286,0.173143289433617,-0.0528682230794325
1,5,0.28169014084507,3.54096409442571,-0.309549617593741,-0.951303302368213,0.332204067180731,0.108170209794205
1.2,5,0.28169014084507,3.77239965615288,-0.166382932122561,-0.800095726596629,0.467329862351508,0.243638953276237
1.4,5,0.28169014084507,3.93771077167229,-0.0641209987386852,-0.705016316712204,0.576774319234833,0.352776304315327
1.6,5,0.28169014084507,4.06169410831184,0.012575430971193,-0.640090415311362,0.665241277253748,0.440767182060613
1.8,5,0.28169014084507,4.15812559236483,0.0722282478580734,-0.593073151838045,0.737529647554192,0.512579873352702
2,5,0.28169014084507,4.23527077960722,0.119950463838912,-0.55751485934826,0.797415787026083,0.572040353522624
2.2,5,0.28169014084507,4.29838956916917,0.158995926924567,-0.529714042355837,0.847705896204972,0.621963232734502
2.4,5,0.28169014084507,4.3509885604708,0.191533819084057,-0.507400585797883,0.890468223965997,0.664412167648598
2.6,5,0.28169014084507,4.39549539926449,0.219065874944634,-0.489107235649562,0.92723898553883,0.70091558642477
2.8,5,0.28169014084507,4.43364411823051,0.242664776393828,-0.473844626075839,0.959174178863495,0.73262177467514
0.4,6.5,0.28169014084507,1.89545725054553,-0.0735037206924486,-4.11637033482547,-0.0385594149261049,-0.269606853432059
0.6,6.5,0.28169014084507,3.39978840177213,-0.26526829040216,-2.3074099222617,0.0136472400049448,-0.217086605504
0.8,6.5,0.28169014084507,4.15195397738544,-0.681589569563598,-1.54719300759924,0.184013868472044,-0.0451896869453631
1,6.5,0.28169014084507,4.60325332275342,-0.402414504122819,-1.17757092452216,0.372741916276518,0.144861954247306
1.2,6.5,0.28169014084507,4.90411955299874,-0.216297810508373,-0.969237140756018,0.536641519739272,0.309211012721563
1.4,6.5,0.28169014084507,5.11902400317397,-0.0833573114953249,-0.837835244513215,0.671120621522565,0.443657041318206
1.6,6.5,0.28169014084507,5.28020234080539,0.0163480627644617,-0.748162424551252,0.780858550080175,0.553186565656142
