"k","r","x1","x2","max_eigen","min_growth_rate","max_growth_rate","expect_avg_growth_rate"
1.6,2,0.449543028836255,1.56636014028096,0.668042889589448,-0.210797447467348,0.143163050267102,0.0111113323190299
1.6,2,0.450374445984028,1.57444804228074,0.664917636767264,-0.215207172066024,0.143299866673132,0.0100858216098159
1.6,2,0.450996393887606,1.58260880601763,0.661849659176852,-0.219630874401544,0.143548661158927,0.00915234204287315
1.6,2,0.451408053885819,1.59083408220233,0.658839141662167,-0.224072014275944,0.14390998930681,0.00831136465865993
1.6,2,0.45160904376409,1.5991153342972,0.65588641259515,-0.228534387561221,0.14438447375035,0.00756338483426215
1.6,2,0.451597075160932,1.60761083740823,0.652934656344018,-0.233112061633948,0.144985675585357,0.00689677745378584
1.6,2,0.451373106344722,1.61597839578432,0.650100264789718,-0.237629747960404,0.145690609222329,0.0063381974331731
1.6,2,0.450939912662637,1.6243750909002,0.647325553788811,-0.242181124520037,0.146510399258256,0.00587412465618871
1.6,2,0.450298810513457,1.63279171367459,0.644611450722721,-0.246770306883904,0.147445367020125,0.00550501323678106
1.6,2,0.449432483746715,1.64138749749096,0.641906619610543,-0.251494316861333,0.148517813450758,0.00522676788276614
1.6,2,0.448377056707858,1.64981570527883,0.639318373791279,-0.256171655517603,0.149685553676827,0.00505064286797607
1.6,2,0.447120098487023,1.65823519598448,0.636794419069278,-0.260897874312594,0.150968054754403,0.00497048021538186
1.6,2,0.445664479482493,1.66663624585446,0.634336252784345,-0.265675914488682,0.152364598505158,0.00498643271665089
1.6,2,0.443978436968647,1.67517613211103,0.631898384493629,-0.270605450249115,0.153905467443756,0.00510175967550663
1.6,2,0.442131725584892,1.68350988296069,0.629578193229029,-0.275495109997781,0.155528805903769,0.00531184160169547
1.6,2,0.440097137669553,1.69179528340702,0.627329057762501,-0.280442312056955,0.157261930435107,0.00561773661187496
1.6,2,0.437878899270535,1.70002229615601,0.625152940860287,-0.2854477284868,0.159102704956446,0.00601904570172166
1.6,2,0.435431796918302,1.70834324571434,0.623010657196666,-0.290613220453118,0.161088602629316,0.00652608747589782
1.6,2,0.432856694331827,1.71642154704404,0.620988391442467,-0.295735499206819,0.163138840579371,0.00711821936958342
1.6,2,0.430112477148189,1.72441096294602,0.619045588791189,-0.300913833964649,0.165288115752554,0.00780350545784891
1.6,2,0.427204494900558,1.73230138979797,0.617184516359934,-0.306146063246026,0.167532907514017,0.00858082536852104
1.6,2,0.424075441012154,1.74023719695643,0.615372820120673,-0.31153545744221,0.169917035926781,0.00946714410514878
1.6,2,0.420853938269861,1.74789697858013,0.613683933346718,-0.31686698558134,0.172342848174253,0.0104261749513845
1.6,2,0.417486222803857,1.75542750055062,0.612083852135793,-0.322241483893934,0.174851859191856,0.0114727003638701
1.6,2,0.413978515039994,1.76281888474381,0.610574952459952,-0.327653921457178,0.177439535134856,0.0126048430511579
1.6,2,0.410263067234143,1.77020462314917,0.609132269263393,-0.333207780885894,0.180155127099104,0.0138457012912781
1.6,2,0.406492249885123,1.77728527372475,0.60781477152985,-0.338678818182212,0.182887223241564,0.0151443554880227
1.6,2,0.402601225227261,1.78419768362515,0.606595551467949,-0.344168685067492,0.185683413498665,0.0165219302848128
1.6,2,0.398596819262868,1.79093252892145,0.605476891350932,-0.349669874522641,0.188538704927333,0.0179759067350253
1.6,2,0.394402711701738,1.79760967457864,0.604441766707613,-0.355284427164554,0.191506786513484,0.0195349282317982
1.6,2,0.39019052151941,1.80395820654974,0.603532971816684,-0.360783520732054,0.194466175306362,0.021135055131545
1.6,2,0.385886152986367,1.81010226987945,0.602731265032967,-0.366268311913011,0.197469587696183,0.0228032805958015
1.6,2,0.381496764370228,1.81603344496346,0.602038653327449,-0.371729500996347,0.200512142654113,0.0245366841161726
1.6,2,0.376939465228557,1.82185548601262,0.60144656497441,-0.377265622328818,0.203650921989905,0.0263688177286681
1.6,2,0.372400314703016,1.82733211098277,0.600980064084603,-0.38264952179477,0.206758117296471,0.028224774228973
1.6,2,0.367797933291949,1.83257220551871,0.60062813179464,-0.387980019216396,0.209890462772737,0.0301368431253909
1.6,2,0.363139535342994,1.83756860256098,0.60039236332057,-0.393246862803058,0.213043653079896,0.032102006212725
1.6,2,0.358337713134028,1.84240681575685,0.600273084067733,-0.398542732224725,0.216277120777991,0.0341580643604605
1.6,2,0.353588032936979,1.84689058507887,0.600276350571716,-0.403649377712266,0.219460101935882,0.0362213847979976
1.6,2,0.348803882493897,1.85111129053008,0.600399874209134,-0.408661032209658,0.222652174330326,0.0383288963738941
1.6,2,0.343992261501401,1.85506333424326,0.600644760776033,-0.413567377104935,0.225849901318157,0.0404777767991443
1.6,2,0.339063269407647,1.85881228926756,0.601020587757531,-0.418452779863029,0.229114094399144,0.042709416612315
1.6,2,0.334217109642427,1.8622063456475,0.601513481889523,-0.423115456050296,0.232313747053476,0.0449336212548413
1.6,2,0.329363987951864,1.86531751957961,0.602130308721289,-0.427642575194649,0.235510147926487,0.0471912469631341
1.6,2,0.324510436889159,1.86814203512569,0.602871665933072,-0.432024588290618,0.238700841282062,0.0494798881303276
1.6,2,0.31956598892366,1.87072431214365,0.603756632630407,-0.436335171573412,0.241947174370308,0.0518438903381176
1.6,2,0.314730862362522,1.87296023958124,0.604750861853333,-0.44039624678392,0.245119833575249,0.0541883638681005
1.6,2,0.309914061634257,1.87490106388447,0.605870686615529,-0.444285415921461,0.248280818609791,0.0565573698896917
1.6,2,0.305121434250226,1.87654499023386,0.607116223823085,-0.447994609984873,0.251428611469081,0.0589490322379529
