"time","x1","x2","min_growth_rate","max_growth_rate","expect_avg_growth_rate","tau","x3","model"
0,0.3418031,2.747028,-0.845449938224546,0.254523019679158,-0.0395062131884645,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.101,0.36385999041858,2.75739529968304,-0.87265359146201,0.237664033396555,-0.0573875780563997,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.202,0.386462131386,2.77085880005052,-0.901461218082743,0.223172288776947,-0.0732630655316154,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.303,0.409441127901734,2.78742577308851,-0.931165500955294,0.210892914949007,-0.087179036377127,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.404,0.432611700651092,2.80708931534678,-0.961047299354503,0.200615500543557,-0.0992369124751296,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.505,0.455775487616411,2.8298284727499,-0.990410446936284,0.192098567062381,-0.109578617556192,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.606,0.478725326504175,2.85560857145256,-1.0186104345622,0.185090572302965,-0.118371722267427,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.707,0.501249760152813,2.88438169332218,-1.04507567371038,0.179346218116956,-0.125795662413746,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.808,0.523137503424224,2.91608722788031,-1.06932142469263,0.174638018301262,-0.132029912447935,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
0.909,0.544181635122028,2.95065243219496,-1.09095735118059,0.170763788120931,-0.137244511687231,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.01,0.564183326562759,2.98799293557824,-1.10969007518179,0.167551008073213,-0.141592945720243,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.111,0.582954980705262,3.02801313571124,-1.12532218770901,0.16485903066811,-0.145207118770197,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.212,0.600322722259086,3.07060644540892,-1.13774905270239,0.162579971662243,-0.148194013892798,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.313,0.616128240893455,3.11565536309132,-1.14695452286098,0.16063894639647,-0.150633603564202,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.414,0.630230039877166,3.16303135382755,-1.15300642542222,0.158994125861356,-0.152577612772085,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.515,0.642504177561934,3.21259454063079,-1.15605240396955,0.157636913679417,-0.154048822221461,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.616,0.652844608385667,3.26419321698822,-1.1563164302202,0.156592383804491,-0.155040710163666,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.717,0.66116323512275,3.31766320126857,-1.15409602704041,0.155919959424692,-0.155517354948157,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.818,0.667389777950694,3.37282706182011,-1.14975996459259,0.155714143282345,-0.155413649686512,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
1.919,0.671471552058915,3.42949324860503,-1.1437458998315,0.156104918005033,-0.154636010639543,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.02,0.673373227341013,3.48745517356358,-1.13655712816837,0.157257221465776,-0.153063885470741,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.121,0.673076623917207,3.54649028802742,-1.12875732700381,0.159368685699564,-0.150552473734443,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.222,0.670580577754847,3.60635921181734,-1.12096194832385,0.162664658987478,-0.14693713787515,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.323,0.665900892614996,3.66680497546967,-1.11382485776578,0.167389499789365,-0.142039976043034,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.424,0.659070378392923,3.7275524444859,-1.10801905228903,0.173793362026603,-0.135678908473987,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.525,0.65013896157927,3.78830800254128,-1.10421094711905,0.182114303023432,-0.127679360738866,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.626,0.63917384067902,3.84875957891413,-1.1030288519367,0.192556574515036,-0.117888195709486,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.727,0.626259647501124,3.90857711339371,-1.10502771988625,0.205267258482542,-0.106188983433749,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.828,0.611498563840086,3.96741355859257,-1.11065367592695,0.22031460570549,-0.0925171008493432,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
2.929,0.595010331993989,4.02490652348868,-1.12021268107617,0.237672001648078,-0.0768726810767952,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
3.03,0.57693208695047,4.08068066122132,-1.13384752091834,0.257210999091569,-0.0593292718430293,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
3.131,0.557417928583906,4.13435089624414,-1.15152604954928,0.278705287982041,-0.0400363595414181,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
3.232,0.536638145137324,4.18552656809799,-1.1730416848424,0.301845283868928,-0.0192146957304076,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
3.333,0.514777996602733,4.2338165383697,-1.1980252301537,0.326260957826031,0.00285550900877229,0.1,NA,"rosenzweig_macarthur_2sp_forced_fixed_point"
